Scenario,Condition,Case,Behavior,F1,F2,F3,F4,F5,
scenario1-approach,AUTO,1,safety_aligned,0,0.0227389,0.242802,0.514303,0.108837,
scenario1-approach,AUTO,1,safety_aligned,0,0.022193,0.248924,0.504742,0.135088,
scenario1-approach,AUTO,1,safety_aligned,0,0.0225364,0.247671,0.533498,0.0924725,
scenario1-approach,AUTO,1,goal_aligned,2.34528,0.0198137,0.284336,0.41238,0.991601,
scenario1-approach,AUTO,1,goal_aligned,0.112583,0.0241243,0.274383,0.373847,1.03179,
scenario1-approach,AUTO,1,goal_aligned,0,0.0219318,0.277522,0.379188,1.05584,
scenario1-approach,AUTO,1,goal_aligned,0,0.0201041,0.281103,0.374461,1.04212,
scenario1-approach,AUTO,1,safety_aligned,0,0.0226452,0.249231,0.519829,0.118517,
scenario2-crossing,AUTO,1,safety_aligned,0,0.053701,0.1821,0.56738,0.0606442,
scenario2-crossing,AUTO,1,safety_aligned,2.06897,0.0749042,0.158921,0.519027,0.119465,
scenario2-crossing,AUTO,1,safety_aligned,0,0.047881,0.181773,0.571954,0.0568491,
scenario2-crossing,AUTO,1,safety_aligned,0,0.0625584,0.199403,0.595066,0.064591,
scenario2-crossing,AUTO,1,goal_aligned,0.451411,0.0992345,0.22452,0.430139,1.7563,
scenario2-crossing,AUTO,1,goal_aligned,0,0.110181,0.274426,0.608835,1.38901,
scenario2-crossing,AUTO,1,goal_aligned,0,0.0781272,0.198328,0.417721,1.74245,
scenario2-crossing,AUTO,1,goal_aligned,0.245614,0.0562072,0.0940263,0.110394,1.61878,
approach-01,AUTO,1,goal_aligned,7.98368,0.0687132,0.180067,0.579012,2.29704,
approach-01,AUTO,1,goal_aligned,7.4965,0.0719109,0.179775,0.581862,2.5202,
approach-01,AUTO,1,goal_aligned,10.8677,0.0829725,0.217056,0.700616,2.73374,
approach-01,AUTO,1,goal_aligned,7.21028,0.0668303,0.176314,0.589866,2.39605,
approach-01,AUTO,1,goal_aligned,7.97517,0.0691908,0.167747,0.634373,2.24482,
approach-01,AUTO,1,safety_aligned,2.5815,0.102216,0.2424,1.25161,0.39732,
approach-01,AUTO,1,safety_aligned,2.34783,0.106219,0.246784,1.05604,0.220971,
approach-01,AUTO,1,safety_aligned,0.769517,0.0782109,0.254788,1.49043,0.209394,
approach-01,AUTO,1,safety_aligned,1.51102,0.09618,0.285559,1.18274,0.197438,
crossing-01,AUTO,1,safety_aligned,3.08758,0.113832,0.217644,0.748629,0.0130527,
crossing-01,AUTO,1,safety_aligned,3.2551,0.0978993,0.188877,0.743043,0.0263742,
crossing-01,AUTO,1,safety_aligned,3.82245,0.104762,0.220673,0.763436,0.0832809,
crossing-01,AUTO,1,goal_aligned,6.30853,0.0861012,0.235598,0.700015,2.50117,
crossing-01,AUTO,1,goal_aligned,8.09908,0.0764145,0.24686,0.601178,2.22935,
crossing-01,AUTO,1,goal_aligned,6.48,0.0840386,0.233279,0.691305,2.35629,
crossing-01,MC,1,goal_aligned,412.76,0.687905,0,1.39141,2.38005,
scenario2-crossing,AUTO,1,goal_aligned,0,0.0623531,0.185806,0.471982,1.04189,
scenario2-crossing,AUTO,1,goal_aligned,0,0.10173,0.264844,0.729291,1.05045,
scenario2-crossing,AUTO,1,safety_aligned,0,0.0740328,0.21381,0.58673,0.119336,
scenario2-crossing,AUTO,1,safety_aligned,1.66957,0.0605805,0.196762,0.588873,0.0928281,
scenario2-crossing,AUTO,1,safety_aligned,0,0.0666872,0.19065,0.58171,0.0428257,
scenario2-crossing,AUTO,1,safety_aligned,0,0.063207,0.187026,0.584416,0.0982904,
scenario2-crossing,AUTO,1,goal_aligned,0,0.0790975,0.197039,0.510143,1.24596,
scenario2-crossing,AUTO,1,goal_aligned,0.625,0.119942,0.271082,0.301254,1.64393,
scenario1-approach,AUTO,1,goal_aligned,10.3155,0.0315474,0.298954,0.440889,0.159228,0.791192,
scenario1-approach,AUTO,1,goal_aligned,11.2462,0.0304761,0.296764,0.453992,0.148479,0.763009,
scenario1-approach,AUTO,1,goal_aligned,8.84694,0.0451419,0.294451,0.440803,0.192823,0.739159,
scenario1-approach,AUTO,1,goal_aligned,0.276451,0.0420799,0.259303,0.0897139,0.021158,1.10985,
scenario1-approach,AUTO,1,goal_aligned,0.268041,0.0436679,0.264035,0.0939199,0.020487,1.06117,
scenario1-approach,AUTO,1,safety_aligned,0,0.0417197,0.24803,0.167414,0.0334122,0.172862,
scenario1-approach,AUTO,1,safety_aligned,0,0.0403185,0.239013,0.178714,0.0376189,0.119472,
scenario1-approach,AUTO,1,safety_aligned,0,0.045741,0.209906,0.13234,0.354663,0.127692,
scenario1-approach,AUTO,1,safety_aligned,0,0.0490027,0.230965,0.137488,0.251147,0.150452,
scenario2-crossing,AUTO,1,safety_aligned,0,0.0829787,0.164339,0.0892999,0.677459,0.0807778,
scenario2-crossing,AUTO,1,safety_aligned,0,0.0847852,0.18444,0.093599,0.727783,0.107029,
scenario2-crossing,AUTO,1,safety_aligned,1.50785,0.0790046,0.16098,0.0885321,0.676685,0.0868681,
scenario2-crossing,AUTO,1,goal_aligned,0.0882353,0.0942419,0.229468,0.187578,0.147627,1.58521,
scenario2-crossing,AUTO,1,goal_aligned,0,0.104148,0.23097,0.198886,0.137199,1.49343,
scenario2-crossing,AUTO,1,goal_aligned,0.436364,0.10786,0.229316,0.114303,0.14305,1.70968,
crossing-01,AUTO,1,goal_aligned,21.5667,0.171997,0.268843,0.172087,0.817791,2.77569,
crossing-01,AUTO,1,goal_aligned,17.1763,0.162797,0.218556,0.091428,0.690883,2.08069,
crossing-01,AUTO,1,goal_aligned,22.1957,0.093594,0.22492,0.404246,0.544633,2.41811,
crossing-01,AUTO,1,goal_aligned,27.3625,0.114631,0.235681,0.369599,0.550762,2.37733,
crossing-01,AUTO,1,safety_aligned,3.48692,0.0878199,0.15246,0.118283,0.50185,0.0300175,
crossing-01,AUTO,1,safety_aligned,3.77236,0.0863806,0.135609,0.0833022,0.656269,0.058541,
crossing-01,AUTO,1,safety_aligned,3.13939,0.090341,0.139624,0.101673,0.524263,0.055986,
crossing-01,AUTO,1,safety_aligned,3.29779,0.0763992,0.134084,0.113846,0.555775,0.0442069,
